id,title,value,stage,probability,expected_close_date,actual_close_date,is_recurring,recurring_amount,created_at
10,WordPress Site Build - Linens and More - Retainer,1500.0,closed_won,100,,,True,1500.0,2026-02-22 05:05:30.291834
9,Anchor Digital - Cold Outreach,0,lead,10,,,False,0,2026-02-10 10:38:18.635182
8,WebAlive - Cold Outreach,3500.0,lead,10,,,False,0,2026-02-10 10:07:32.033659
7,Perth Video Redesign,0,closed_lost,50,,2026-01-26,False,0,2026-01-09 06:35:21.291164
6,Landing Page creation,600.0,prospect,70,,,False,0,2025-12-12 06:18:02.763174
4,Joy Evanns - Website Inquiry,0,closed_lost,50,,2025-12-18,False,0,2025-11-29 02:25:06.260123
3,Linens and More - TikTok Lead,4000.0,closed_lost,50,,2026-01-26,False,0,2025-11-29 02:25:02.859899
2,Pundok Studios,100.0,closed_won,50,,2025-11-29,True,100.0,2025-11-29 02:24:59.434892
1,You%,100.0,closed_won,50,,2025-11-29,True,100.0,2025-11-29 02:24:54.243941
